Sõna,Sõnaliik,Muuttüüp,Algvorm
ajalehed-ajakirjad,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjade,S,0,ajalehed-ajakirjad
ajalehtesid-ajakirjasid,S,0,ajalehed-ajakirjad
ajalehti-ajakirju,S,0,ajalehed-ajakirjad
ajalehtedesse-ajakirjadesse,S,0,ajalehed-ajakirjad
ajalehtedes-ajakirjades,S,0,ajalehed-ajakirjad
ajalehtedest-ajakirjadest,S,0,ajalehed-ajakirjad
ajalehtedele-ajakirjadele,S,0,ajalehed-ajakirjad
ajalehtedel-ajakirjadel,S,0,ajalehed-ajakirjad
ajalehtedelt-ajakirjadelt,S,0,ajalehed-ajakirjad
ajalehtedeks-ajakirjadeks,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadeni,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadena,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadeta,S,0,ajalehed-ajakirjad
ajalehtede-ajakirjadega,S,0,ajalehed-ajakirjad
eikeegi,P,0,eikeegi
eikellegi,P,0,eikeegi
eikedagi,P,0,eikeegi
eikellessegi,P,0,eikeegi
eikelleski,P,0,eikeegi
eikellestki,P,0,eikeegi
eikellelegi,P,0,eikeegi
eikellelgi,P,0,eikeegi
eikelleltki,P,0,eikeegi
eikellekski,P,0,eikeegi
eikellenigi,P,0,eikeegi
eikellenagi,P,0,eikeegi
eikelletagi,P,0,eikeegi
eikellegagi,P,0,eikeegi
eimiski,P,0,eimiski
eimillegi,P,0,eimiski
eimidagi,P,0,eimiski
eimillessegi,P,0,eimiski
eimilleski,P,0,eimiski
eimillestki,P,0,eimiski
eimillelegi,P,0,eimiski
eimillelgi,P,0,eimiski
eimilleltki,P,0,eimiski
eimillekski,P,0,eimiski
eimillenigi,P,0,eimiski
eimillenagi,P,0,eimiski
eimilletagi,P,0,eimiski
eimillegagi,P,0,eimiski
elamine-olemine,S,0,elamine-olemine
elamise-olemise,S,0,elamine-olemine
elamist-olemist,S,0,elamine-olemine
elamisesse-olemisesse,S,0,elamine-olemine
elamises-olemises,S,0,elamine-olemine
elamisest-olemisest,S,0,elamine-olemine
elamisele-olemisele,S,0,elamine-olemine
elamisel-olemisel,S,0,elamine-olemine
elamiselt-olemiselt,S,0,elamine-olemine
elamiseks-olemiseks,S,0,elamine-olemine
elamise-olemiseni,S,0,elamine-olemine
elamise-olemisena,S,0,elamine-olemine
elamise-olemiseta,S,0,elamine-olemine
elamise-olemisega,S,0,elamine-olemine
elamisse-olemisse,S,0,elamine-olemine
elamised-olemised,S,0,elamine-olemine
elamiste-olemiste,S,0,elamine-olemine
elamisi-olemisi,S,0,elamine-olemine
elamistesse-olemistesse,S,0,elamine-olemine
elamistes-olemistes,S,0,elamine-olemine
elamistest-olemistest,S,0,elamine-olemine
elamistele-olemistele,S,0,elamine-olemine
elamistel-olemistel,S,0,elamine-olemine
elamistelt-olemistelt,S,0,elamine-olemine
elamisteks-olemisteks,S,0,elamine-olemine
elamiste-olemisteni,S,0,elamine-olemine
elamiste-olemistena,S,0,elamine-olemine
elamiste-olemisteta,S,0,elamine-olemine
elamiste-olemistega,S,0,elamine-olemine
ematu-isatu,S,0,ematu-isatu
ematu-isatu,S,0,ematu-isatu
ematut-isatut,S,0,ematu-isatu
ematusse-isatusse,S,0,ematu-isatu
ematus-isatus,S,0,ematu-isatu
ematust-isatust,S,0,ematu-isatu
ematule-isatule,S,0,ematu-isatu
ematul-isatul,S,0,ematu-isatu
ematult-isatult,S,0,ematu-isatu
ematuks-isatuks,S,0,ematu-isatu
ematu-isatuni,S,0,ematu-isatu
ematu-isatuna,S,0,ematu-isatu
ematu-isatuta,S,0,ematu-isatu
ematu-isatuga,S,0,ematu-isatu
ematud-isatud,S,0,ematu-isatu
ematute-isatute,S,0,ematu-isatu
ematuid-isatuid,S,0,ematu-isatu
ematutesse-isatutesse,S,0,ematu-isatu
ematutes-isatutes,S,0,ematu-isatu
ematutest-isatutest,S,0,ematu-isatu
ematutele-isatutele,S,0,ematu-isatu
ematutel-isatutel,S,0,ematu-isatu
ematutelt-isatutelt,S,0,ematu-isatu
ematuteks-isatuteks,S,0,ematu-isatu
ematute-isatuteni,S,0,ematu-isatu
ematute-isatutena,S,0,ematu-isatu
ematute-isatuteta,S,0,ematu-isatu
ematute-isatutega,S,0,ematu-isatu
emb-kumb,P,0,emb-kumb
emma-kumma,P,0,emb-kumb
emba-kumba,P,0,emb-kumb
emmasse-kummasse,P,0,emb-kumb
emmas-kummas,P,0,emb-kumb
emmast-kummast,P,0,emb-kumb
emmale-kummale,P,0,emb-kumb
emmal-kummal,P,0,emb-kumb
emmalt-kummalt,P,0,emb-kumb
emmaks-kummaks,P,0,emb-kumb
emma-kummani,P,0,emb-kumb
emma-kummana,P,0,emb-kumb
emma-kummata,P,0,emb-kumb
emma-kummaga,P,0,emb-kumb
emba-kumba,P,0,emb-kumb
ise,P,0,ise
enese,P,0,ise
enda,P,0,ise
ennast,P,0,ise
end,P,0,ise
enesesse,P,0,ise
endasse,P,0,ise
eneses,P,0,ise
endas,P,0,ise
enesest,P,0,ise
endast,P,0,ise
enesele,P,0,ise
endale,P,0,ise
enesel,P,0,ise
endal,P,0,ise
eneselt,P,0,ise
endalt,P,0,ise
eneseks,P,0,ise
endaks,P,0,ise
eneseni,P,0,ise
endani,P,0,ise
enesena,P,0,ise
endana,P,0,ise
eneseta,P,0,ise
endata,P,0,ise
enesega,P,0,ise
endaga,P,0,ise
ise,P,0,ise
eneste,P,0,ise
endi,P,0,ise
endid,P,0,ise
enestesse,P,0,ise
endisse,P,0,ise
enestes,P,0,ise
endis,P,0,ise
enestest,P,0,ise
endist,P,0,ise
enestele,P,0,ise
endile,P,0,ise
enestel,P,0,ise
endil,P,0,ise
enestelt,P,0,ise
endilt,P,0,ise
enesteks,P,0,ise
endiks,P,0,ise
enesteni,P,0,ise
endini,P,0,ise
enestena,P,0,ise
endina,P,0,ise
enesteta,P,0,ise
endita,P,0,ise
enestega,P,0,ise
endiga,P,0,ise
iseenese,P,0,iseenese
iseenda,P,0,iseenese
iseennast,P,0,iseenese
iseend,P,0,iseenese
iseenesesse,P,0,iseenese
iseendasse,P,0,iseenese
iseeneses,P,0,iseenese
iseendas,P,0,iseenese
iseenesest,P,0,iseenese
iseendast,P,0,iseenese
iseenesele,P,0,iseenese
iseendale,P,0,iseenese
