Sõna,Sõnaliik,Muuttüüp
1/16-finaal,S,22
1/2-finaal,S,22
1/4-finaal,S,22
1/8-finaal,S,22
aabe,S,6
Aabel,H,2
aabits,S,2
aabitsajünger,S,2
aabitsajüts,S,22
aabitsalik,A,25
aabitsaraamat,S,2
aabitsatarkus,"S,S","11,9"
aabitsatõde,S,18
Aabram,H,2
Aachen,H,2
Aadam,H,2
aadamaõun,S,22
aadamaülikond,S,22
aadamaülikonnas,A,-
aade,S,6
aadel,S,2
aadeldama,V,27
aadelkond,S,22
aader,S,2
aadeteta,A,-
aadlidaam,S,22
aadlik,S,25
aadlimees,S,13
aadliseisus,"S,S","11,9"
aadliseisusesse tõstma,V,34
aadress,S,22
aadria,G,-
Aadria,H,1
Aadu,H,16
aafrika,G,-
Aafrika,H,1
aafriklane,S,12
aafriklanna,S,16
aagenpits,S,22
aa,I,-
aaker,S,2
aaloe,S,26
aam,S,22
aamen,"S,I",2
aamine,A,10
aamissepp,S,22
aampalk,S,22
aanispits,S,22
aapestik,S,25
aar,S,22
aara,S,16
aardekütt,S,22
Aardla,H,1
aardla,S,1
aare,S,6
Aare,H,16
aaria,G,-
aarialane,S,12
aaria,S,1
aarjastama,V,27
Aarne,H,16
Aaronwe,H,26
aas,S,22
aasama,V,29
aasia,G,-
Aasia,H,1
aasialane,S,12
aasima,V,28
aasimine,S,12
aasiv,A,2
Aasov,H,2
aasta-aastalt,D,-
aastaaeg,S,22
aastaajane,A,10
aastaarv,S,22
aastaeelarve,S,6
aastakuueteistkümnendik,N,25
aastakäik,S,22
aastakäive,S,6
aastakümme,S,5
aastalehm,S,22
aastalõpp,S,22
aastamaks,S,22
aastamakse,S,6
aastamiljon,S,2
aastane,"A,A","12,10"
aastanumber,S,2
aastanäitus,"S,S","11,9"
aastapalk,S,22
aastaplaan,S,22
aastapreemia,S,1
aastapäev,S,22
aastapäevakõne,S,16
aastapäevaüritus,S,11
aastaring,S,22
aastaringne,A,2
aastaringselt,D,-
aastarõngas,S,7
aasta,S,1
aastasada,S,18
aastatagune,A,10
aastatepikkune,"A,A","12,10"
aastates,D,-
aastatetagune,A,10
aastati,D,-
aastatuhat,S,2
aastavahetus,S,11
aastavanune,A,10
aažio,S,1
aateinimene,S,12
aatekaaslane,"S,S","12,10"
aateline,A,12
aateliselt,D,-
aatelisus,S,11
aatemees,S,13
aatevaene,A,10
aatleja,S,1
aatlema,V,30
aatom,S,2
aatomienergia,S,1
Aatomik,H,25
aatomipomm,S,22
aatomisõda,S,18
aatomkütus,S,9
aatrium,"S,S","19,2"
Aavik,H,2
Aaviksoo,H,26
Aavo,H,16
abajas,S,2
abakala,S,17
abakus,S,11
abaluu,S,26
abasiin,S,22
abažuur,S,22
abdoomen,S,2
Abdoul,H,22
Abeba,H,16
abee,S,26
Abel,H,2
Aberdeen,H,22
aberratsioon,S,22
abessiinlane,"S,S","12,10"
abessiinlanna,S,16
abessiiv,S,22
abessiivne,A,2
abhaas,S,22
abhaasia,G,-
Abhaasia,H,1
abiandja,S,1
abi andma,V,34
abiandmine,S,12
abi,S,17
abidirektor,S,2
Abidjan,H,22
abiellu astuma,V,28
abielluma,V,27
abiellumine,S,12
abiellumisettepanek,S,2
abiellumus,S,11
abielu,S,17
abieluettepanek,S,2
abieluinimene,S,12
abielulahutus,S,11
abielulaps,S,14
abieluline,A,12
abielumees,S,13
abielunaine,S,12
abielupaar,S,22
abielupool,S,13
abielurahvas,S,7
abielurikkuja,S,1
abielu rikkuma,V,28
abielusadam,S,2
abielus,A,-
abieluseisus,"S,S","11,9"
abieluside,S,4
abielu sõlmima,V,28
abielusõrmus,S,9
abieluvoodi,S,1
abieluõnn,S,22
abiga,D,-
abikaasa,S,16
abikaaslane,"S,S","12,10"
abikomissar,S,19
abiks,D,-
abiks olema,V,36
abiksolija,S,1
abiline,S,12
abilinnapea,S,26
abil,K,-
abimaavanem,S,2
abimaterjal,S,19
abimees,S,13
abinõu,S,17
abiogenees,S,22
abioos,S,22
abi osutama,V,27
abiotsija,S,1
abiotsiv,A,2
abiotsivalt,D,-
abipakett,S,22
abipaluja,S,1
abipaluv,A,2
abipalve,S,6
abiprefekt,S,22
abiprogramm,S,22
abiraha,S,17
abisaadetis,S,11
abistaja,S,1
abistama,V,27
abistamine,S,12
abistav,A,2
abistavalt,D,-
abistus,S,11
abisõna,S,17
abiteenistus,S,11
abitu,A,1
abitult,D,-
abiturient,S,22
abitus,S,11
abituurium,"S,S","19,2"
abivahend,S,2
abivajaja,S,1
abivallavanem,S,2
abivalmidus,S,11
abivalmilt,D,-
abivalmina,D,-
abivalmis,A,2
abivägi,S,21
abiõpetaja,S,1
Abja,H,16
Abja-Paluoja,H,16
ablas,A,7
ablatiiv,S,22
ablatiivne,A,2
abnormne,A,2
abnormselt,D,-
abnormsus,"S,S","11,9"
abolitsionism,S,22
aboneerima,V,28
aboneering,S,2
abonement,S,22
abonent,S,22
aborigeen,S,22
aborigeenne,A,2
abort,S,22
aborteerima,V,28
aborteeruma,V,27
abortiivne,A,2
abortima,V,28
Abraham,H,19
abrakadabra,S,16
abrasiiv,S,22
abrasiivne,A,2
abrasioon,S,22
abreviatuur,S,22
abruka,G,-
Abruka,H,1
absats,S,22
absentne,A,2
absint,S,22
absolutiseerima,V,28
absolutism,S,22
absolutist,S,22
absoluut,S,22
absoluutarv,S,22
absoluutne,A,2
absoluutselt,D,-
absoluutsus,"S,S","11,9"
absorbeerima,V,28
absorbeeruma,V,27
absorbeerumine,S,12
absorbent,S,22
absorbtsioon,S,22
abstinentsinäht,S,22
abstraheerima,V,28
